c,z,y,q,d,t,value
Benin,Benin,2025,dry,1,t01,1000.0
Benin,Benin,2025,dry,1,t02,1000.0
Benin,Benin,2025,dry,1,t03,1000.0
Benin,Benin,2025,dry,1,t04,1000.0
Benin,Benin,2025,dry,1,t05,1000.0
Benin,Benin,2025,dry,1,t06,1000.0
Benin,Benin,2025,dry,1,t07,1000.0
Benin,Benin,2025,dry,1,t08,999.9999999999999
Benin,Benin,2025,dry,1,t09,900.0
Benin,Benin,2025,dry,1,t10,1000.0
Benin,Benin,2025,dry,1,t11,1000.0
Benin,Benin,2025,dry,1,t12,1000.0
Benin,Benin,2025,dry,1,t13,1000.0
Benin,Benin,2025,dry,1,t14,1000.0000000000002
Benin,Benin,2025,dry,1,t15,1000.0
Benin,Benin,2025,dry,1,t16,1000.0
Benin,Benin,2025,dry,1,t17,1000.0000000000002
Benin,Benin,2025,dry,1,t18,1000.0
Benin,Benin,2025,dry,1,t19,1000.0
Benin,Benin,2025,dry,1,t20,1000.0
Benin,Benin,2025,dry,1,t21,1000.0
Benin,Benin,2025,dry,1,t22,1000.0
Benin,Benin,2025,dry,1,t23,1000.0
Benin,Benin,2025,dry,1,t24,1000.0
Benin,Benin,2025,dry,2,t01,999.9999999999999
Benin,Benin,2025,dry,2,t02,999.9999999999999
Benin,Benin,2025,dry,2,t03,1000.0000000000001
Benin,Benin,2025,dry,2,t04,1000.0000000000001
Benin,Benin,2025,dry,2,t05,1000.0
Benin,Benin,2025,dry,2,t06,999.9999999999999
Benin,Benin,2025,dry,2,t07,999.9999999999999
Benin,Benin,2025,dry,2,t08,999.9999999999999
Benin,Benin,2025,dry,2,t09,1000.0
Benin,Benin,2025,dry,2,t10,1000.0000000000001
Benin,Benin,2025,dry,2,t11,999.9999999999999
Benin,Benin,2025,dry,2,t12,1000.0000000000001
Benin,Benin,2025,dry,2,t13,1000.0000000000001
Benin,Benin,2025,dry,2,t14,1000.0000000000001
Benin,Benin,2025,dry,2,t15,1000.0
Benin,Benin,2025,dry,2,t16,1000.0
Benin,Benin,2025,dry,2,t17,165.50884000000002
Benin,Benin,2025,dry,2,t18,170.2
Benin,Benin,2025,dry,2,t19,170.2
Benin,Benin,2025,dry,2,t20,1000.0000000000001
Benin,Benin,2025,dry,2,t21,1000.0
Benin,Benin,2025,dry,2,t22,1000.0
Benin,Benin,2025,dry,2,t23,1000.0
Benin,Benin,2025,dry,2,t24,1000.0
Benin,Benin,2025,dry,3,t01,1000.0
Benin,Benin,2025,dry,3,t02,1000.0
Benin,Benin,2025,dry,3,t03,1000.0
Benin,Benin,2025,dry,3,t04,1000.0
Benin,Benin,2025,dry,3,t05,1000.0
Benin,Benin,2025,dry,3,t06,1000.0
Benin,Benin,2025,dry,3,t07,1000.0
Benin,Benin,2025,dry,3,t08,1000.0
Benin,Benin,2025,dry,3,t09,1000.0
Benin,Benin,2025,dry,3,t10,1000.0
Benin,Benin,2025,dry,3,t11,1000.0
Benin,Benin,2025,dry,3,t12,1000.0
Benin,Benin,2025,dry,3,t13,1000.0
Benin,Benin,2025,dry,3,t14,1000.0
Benin,Benin,2025,dry,3,t15,1000.0
Benin,Benin,2025,dry,3,t16,1000.0
Benin,Benin,2025,dry,3,t17,1000.0
Benin,Benin,2025,dry,3,t18,1000.0000000000001
Benin,Benin,2025,dry,3,t19,1000.0
Benin,Benin,2025,dry,3,t20,1000.0
Benin,Benin,2025,dry,3,t21,1000.0
Benin,Benin,2025,dry,3,t22,1000.0
Benin,Benin,2025,dry,3,t23,1000.0
Benin,Benin,2025,dry,3,t24,1000.0
Benin,Benin,2025,dry,4,t01,1000.0
Benin,Benin,2025,dry,4,t02,1000.0000000000002
Benin,Benin,2025,dry,4,t03,1000.0
Benin,Benin,2025,dry,4,t04,1000.0
Benin,Benin,2025,dry,4,t05,1000.0
Benin,Benin,2025,dry,4,t06,1000.0
Benin,Benin,2025,dry,4,t07,1000.0
Benin,Benin,2025,dry,4,t08,1000.0
Benin,Benin,2025,dry,4,t09,1000.0
Benin,Benin,2025,dry,4,t10,1000.0
Benin,Benin,2025,dry,4,t11,1000.0000000000002
Benin,Benin,2025,dry,4,t12,1000.0
Benin,Benin,2025,dry,4,t13,1000.0
Benin,Benin,2025,dry,4,t14,1000.0
Benin,Benin,2025,dry,4,t15,1000.0
Benin,Benin,2025,dry,4,t16,1000.0000000000002
Benin,Benin,2025,dry,4,t17,1000.0
Benin,Benin,2025,dry,4,t18,1000.0
Benin,Benin,2025,dry,4,t19,1000.0
Benin,Benin,2025,dry,4,t20,1000.0
Benin,Benin,2025,dry,4,t21,1000.0
