c,z,attribute,y,value
Benin,Benin,CapexInvestmentComponent,2026,42680000.0
Benin,Benin,CapexInvestmentComponent,2027,206635623.6972353
Benin,Benin,CapexInvestmentComponent,2028,321009584.0406873
Benin,Benin,CapexInvestmentComponent,2029,79540000.0
Benin,Benin,CapexInvestmentComponent,2030,711607065.74326
Benin,Benin,CapexInvestmentComponent,2032,489537214.2532126
Benin,Benin,CapexInvestmentComponent,2035,663633457.9275383
Benin,Benin,CapexInvestmentComponent,2040,804570772.0258305
Benin,Benin,CapexInvestmentComponent,2045,464656660.0413593
Benin,Benin,CapexInvestmentComponentCumulated,2026,42680000.0
Benin,Benin,CapexInvestmentComponentCumulated,2027,249315623.6972353
Benin,Benin,CapexInvestmentComponentCumulated,2028,570325207.7379227
Benin,Benin,CapexInvestmentComponentCumulated,2029,551482080.0
Benin,Benin,CapexInvestmentComponentCumulated,2030,1361472273.4811828
Benin,Benin,CapexInvestmentComponentCumulated,2032,1851009487.7343953
Benin,Benin,CapexInvestmentComponentCumulated,2035,2514642945.6619334
Benin,Benin,CapexInvestmentComponentCumulated,2040,3319213717.687764
Benin,Benin,CapexInvestmentComponentCumulated,2045,3783870377.7291236
Benin,Benin,Costs,2025,000-1105.769047842320.629274102.07237326602403001828.4876554484683000-137.73039189280006.54602500133171429.58736082789112500002.547478618
Benin,Benin,Costs,2026,000-462.669546169413651.479274101.67284911870848001065.8698508852326000-141.3826366416000200013.9593467903132377.6625342865757500002.5466598817430235
Benin,Benin,Costs,2027,000-235.60457570165235.667426254685598114.2209530799998900404.56286453341835000-92.480572528597960000.68226764969006250.08566780417905500003.1127549999999964
Benin,Benin,Costs,2028,000-291.502398900809211.922592146743634113.4739467067886100446.6296763523924000-113.247972272724110001.25146989784382630.679314091537636400003.098140923240282
Benin,Benin,Costs,2029,000-264.9233510402254413.622592146743633113.9782888200003600495.9541270958875000-105.795451139449580002.0079224744165740.467450383147973400003.112755000000002
Benin,Benin,Costs,2030,000-242.1844211026825622.43606175381919110.5822792382280500271.45912256266956000-35.43788285410530001.0615335937655128000003.3083734877644138
Benin,Benin,Costs,2032,000-182.617679250568329.73497151819799526.58962954499830300275.66014360078015000-42.970207051892850000.9456169888856675000001.3352884350612866
Benin,Benin,Costs,2035,000-276.909156183168740.3390799815006185.1563676075803500282.27539616365647000-83.299366275444780000.9842085599999999000003.125569343308953
Benin,Benin,Costs,2040,000-291.0499213710329554.76918747384015577.7403131023790900284.27536645571735000-734.10536427049590000.965865743811763000003.2018815414587065
Benin,Benin,Costs,2045,000-448.7431210401319467.5561745616758996.0947512712363500448.5643733000473000-939.68056815682040001.5180178260739412000003.7449569054318754
Benin,Benin,CostsPerMWh,2025,000-517.12984334606130.294289630982827947.7357098211584800855.1202773014394000-64.411728762434780003.06134892280036313.83698277665350500001.1913674209134086
Benin,Benin,CostsPerMWh,2026,000-201.64958560800110.644725790945974544.31302656964838600464.5480030457166000-61.620113809059630006.084032370253142533.8483870092906500001.109934539866957
Benin,Benin,CostsPerMWh,2027,000-95.973068618234682.30861513283381946.52768451096816400164.79790107057352000-37.671782505531860000.277920408653790250.0348966144836731100001.2679747340096235
Benin,Benin,CostsPerMWh,2028,000-111.088435372747034.543571895680460543.2437031144879300170.20577574699996000-43.157586683168230000.4769217453845670.2588793088500569400001.1806682518731253
Benin,Benin,CostsPerMWh,2029,000-94.114737357017084.83946272375918640.4910955360359900176.18904573523542000-37.584120306724460000.71331989260649990.166063013564736900001.1058146370693462
Benin,Benin,CostsPerMWh,2030,000-79.427879738564247.3582305859128336.267056058185980089.02894101393157000-11.622365653040040000.3481452780495101000001.08502888137876
Benin,Benin,CostsPerMWh,2032,000-53.499556091172048.7111378434751757.7896805124452110080.75721570437481000-12.5885238047940180000.2770273357172594000000.3911852281916036
Benin,Benin,CostsPerMWh,2035,000-70.8589343616032210.32246192222644321.7908629167418580072.23211411407941000-21.3156704842599080000.25185144006230226000000.7998092803896607
Benin,Benin,CostsPerMWh,2040,000-61.39449279438830611.55309188842076316.3986544648918230059.96545834911417000-154.853250894959360000.203741121693014000000.6754095390219064
Benin,Benin,CostsPerMWh,2045,000-79.6254011386489711.9872311053988617.05114297809280079.59368397165623000-166.73780315172540000.2693585097340078000000.6645086729146731
Benin,Benin,DemandEnergyZone,2025,2138.28125
Benin,Benin,DemandEnergyZone,2026,2294.423491000002
Benin,Benin,DemandEnergyZone,2027,2454.903017
Benin,Benin,DemandEnergyZone,2028,2624.0571120000004
Benin,Benin,DemandEnergyZone,2029,2814.897629000004
Benin,Benin,DemandEnergyZone,2030,3049.1109910000014
Benin,Benin,DemandEnergyZone,2032,3413.442888
Benin,Benin,DemandEnergyZone,2035,3907.893319
Benin,Benin,DemandEnergyZone,2040,4740.651940000001
Benin,Benin,DemandEnergyZone,2045,5635.677995
Benin,Benin,DemandPeakZone,2025,454.83672319238485
Benin,Benin,DemandPeakZone,2026,488.0499523898065
Benin,Benin,DemandPeakZone,2027,522.1857714011978
Benin,Benin,DemandPeakZone,2028,558.1667698244504
Benin,Benin,DemandPeakZone,2029,598.7607166693168
Benin,Benin,DemandPeakZone,2030,648.5805605734879
Benin,Benin,DemandPeakZone,2032,726.0780956608637
Benin,Benin,DemandPeakZone,2035,831.25332170479
