c,z,attribute,uni,y,value
System,System,NetPresentCostSystem,Carbon costs: $m,,0.0
System,System,NetPresentCostSystem,Excess generation: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with internal zones: $m,,-44164.79097670119
System,System,NetPresentCostSystem,Fixed O&M: $m,,15253.421670826898
System,System,NetPresentCostSystem,Fuel costs: $m,,81901.79406964077
System,System,NetPresentCostSystem,Generation costs: $m,,0.0
System,System,NetPresentCostSystem,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystem,Import costs with internal zones: $m,,86357.74267114604
System,System,NetPresentCostSystem,NPV of system cost: $m,,197844.12431285327
System,System,NetPresentCostSystem,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Startup costs: $m,,0.0
System,System,NetPresentCostSystem,Trade shared benefits: $m,,-42192.95169444488
System,System,NetPresentCostSystem,Transmission costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet country planning reserve costs: $m,,191.9346679641249
System,System,NetPresentCostSystem,Unmet country spinning reserve costs: $m,,569.474691284645
System,System,NetPresentCostSystem,Unmet demand costs: $m,,48771.83635746217
System,System,NetPresentCostSystem,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet system planning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Unmet system spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystem,Variable O&M: $m,,4177.606781797962
System,System,NetPresentCostSystemPerMWh,Carbon costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Excess generation: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with internal zones: $m,,-18.53617849128788
System,System,NetPresentCostSystemPerMWh,Fixed O&M: $m,,6.40193557901097
System,System,NetPresentCostSystemPerMWh,Fuel costs: $m,,34.37458301189405
System,System,NetPresentCostSystemPerMWh,Generation costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with internal zones: $m,,36.24476640456717
System,System,NetPresentCostSystemPerMWh,NPV of system cost: $m,,83.03614532332418
System,System,NetPresentCostSystemPerMWh,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Startup costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Trade shared benefits: $m,,-17.70858791327931
System,System,NetPresentCostSystemPerMWh,Transmission costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet country planning reserve costs: $m,,0.0805559176296328
System,System,NetPresentCostSystemPerMWh,Unmet country spinning reserve costs: $m,,0.2390113094725597
System,System,NetPresentCostSystemPerMWh,Unmet demand costs: $m,,20.469777940231257
System,System,NetPresentCostSystemPerMWh,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet system planning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet system spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Variable O&M: $m,,1.753361971410054
Benin,Benin,CongestionShare,Burkina,2025,1.0
Benin,Benin,CongestionShare,Niger,2025,1.0
Benin,Benin,CongestionShare,Nigeria,2025,0.0350456621004566
Benin,Benin,CongestionShare,Burkina,2026,1.0
Benin,Benin,CongestionShare,Niger,2026,1.0
Benin,Benin,CongestionShare,Nigeria,2026,0.0042237442922374
Benin,Benin,CongestionShare,Burkina,2027,1.0
Benin,Benin,CongestionShare,Niger,2027,1.0
Benin,Benin,CongestionShare,Togo,2027,0.0468036529680365
Benin,Benin,CongestionShare,Burkina,2028,1.0
Benin,Benin,CongestionShare,Niger,2028,1.0
Benin,Benin,CongestionShare,Nigeria,2028,0.0302511415525114
Benin,Benin,CongestionShare,Togo,2028,0.1327625570776255
Benin,Benin,CongestionShare,Burkina,2029,1.0
Benin,Benin,CongestionShare,Niger,2029,1.0
Benin,Benin,CongestionShare,Nigeria,2029,0.053310502283105
Benin,Benin,CongestionShare,Togo,2029,0.0648401826484018
Benin,Benin,CongestionShare,Burkina,2030,1.0
Benin,Benin,CongestionShare,Niger,2030,1.0
Benin,Benin,CongestionShare,Nigeria,2030,0.0223744292237442
Benin,Benin,CongestionShare,Togo,2030,0.2595890410958904
Benin,Benin,CongestionShare,Burkina,2032,1.0
Benin,Benin,CongestionShare,Niger,2032,1.0
Benin,Benin,CongestionShare,Nigeria,2032,0.0097031963470319
Benin,Benin,CongestionShare,Togo,2032,0.0920091324200913
Benin,Benin,CongestionShare,Burkina,2035,1.0
Benin,Benin,CongestionShare,Niger,2035,1.0
Benin,Benin,CongestionShare,Nigeria,2035,0.0515981735159817
Benin,Benin,CongestionShare,Togo,2035,0.6099315068493151
Benin,Benin,CongestionShare,Burkina,2040,1.0
Benin,Benin,CongestionShare,Niger,2040,1.0
Benin,Benin,CongestionShare,Togo,2040,0.9108447488584476
Benin,Benin,CongestionShare,Burkina,2045,1.0
Benin,Benin,CongestionShare,Niger,2045,1.0
Benin,Benin,CongestionShare,Nigeria,2045,0.0067351598173515
Benin,Benin,CongestionShare,Togo,2045,0.9041095890410958
Benin,Benin,Interchange,Nigeria,2025,982.4176300108696
Benin,Benin,Interchange,Togo,2025,263.7328159096005
Benin,Benin,Interchange,Nigeria,2026,230.11128359844807
Benin,Benin,Interchange,Togo,2026,526.4582355442981
Benin,Benin,Interchange,Nigeria,2027,127.99819888061626
Benin,Benin,Interchange,Togo,2027,1446.9651202587784
Benin,Benin,Interchange,Nigeria,2028,160.99492402559537
Benin,Benin,Interchange,Togo,2028,1614.6583020312112
Benin,Benin,Interchange,Nigeria,2029,386.2175836223064
Benin,Benin,Interchange,Togo,2029,1070.3435777542943
Benin,Benin,Interchange,Nigeria,2030,197.18828570121664
Benin,Benin,Interchange,Togo,2030,1966.216282048084
Benin,Benin,Interchange,Nigeria,2032,89.23475862864154
Benin,Benin,Interchange,Togo,2032,1737.0897539421835
Benin,Benin,Interchange,Nigeria,2035,192.31521242370152
Benin,Benin,Interchange,Togo,2035,2443.892612748194
Benin,Benin,Interchange,Nigeria,2040,19.85299883583266
Benin,Benin,Interchange,Togo,2040,2870.43833852966
Benin,Benin,Interchange,Nigeria,2045,35.53427733274338
Benin,Benin,Interchange,Togo,2045,2857.619421098941
Benin,Benin,InterconUtilization,Nigeria,2025,0.3298474449405283
Benin,Benin,InterconUtilization,Togo,2025,0.0885484877483214
Benin,Benin,InterconUtilization,Nigeria,2026,0.0772600334402525
Benin,Benin,InterconUtilization,Togo,2026,0.1767587414532292
Benin,Benin,InterconUtilization,Nigeria,2027,0.0429754898202445
Benin,Benin,InterconUtilization,Togo,2027,0.4858196079300222
Benin,Benin,InterconUtilization,Nigeria,2028,0.0540541646607558
Benin,Benin,InterconUtilization,Togo,2028,0.5421227175769578
Benin,Benin,InterconUtilization,Nigeria,2029,0.1296728389814351
Benin,Benin,InterconUtilization,Togo,2029,0.3593686468420273
Benin,Benin,InterconUtilization,Nigeria,2030,0.0662061125776311
Benin,Benin,InterconUtilization,Togo,2030,0.660158569046496
Benin,Benin,InterconUtilization,Nigeria,2032,0.0299606361229658
Benin,Benin,InterconUtilization,Togo,2032,0.5832291679902577
Benin,Benin,InterconUtilization,Nigeria,2035,0.0645699746252019
Benin,Benin,InterconUtilization,Togo,2035,0.820538749915456
Benin,Benin,InterconUtilization,Nigeria,2040,0.0066656590235806
Benin,Benin,InterconUtilization,Togo,2040,0.9637517924152764
Benin,Benin,InterconUtilization,Nigeria,2045,0.0119306598619202
Benin,Benin,InterconUtilization,Togo,2045,0.9594478314191988
Benin,Benin,NetImport,Nigeria,2025,-0.9824176300108698
Benin,Benin,NetImport,Togo,2025,-0.2637328159096005
Benin,Benin,NetImport,Nigeria,2026,-0.230111283598448
Benin,Benin,NetImport,Togo,2026,-0.526458235544298
Benin,Benin,NetImport,Nigeria,2027,-0.1279981988806162
Benin,Benin,NetImport,Togo,2027,-1.4469651202587783
Benin,Benin,NetImport,Nigeria,2028,-0.1609949240255953
Benin,Benin,NetImport,Togo,2028,-1.6146583020312113
Benin,Benin,NetImport,Nigeria,2029,-0.3862175836223064
Benin,Benin,NetImport,Togo,2029,-1.0703435777542942
Benin,Benin,NetImport,Nigeria,2030,-0.1971882857012166
Benin,Benin,NetImport,Togo,2030,-1.9662162820480835
Benin,Benin,NetImport,Nigeria,2032,-0.0892347586286415
Benin,Benin,NetImport,Togo,2032,-1.7370897539421837
Benin,Benin,NetImport,Nigeria,2035,-0.1923152124237015
Benin,Benin,NetImport,Togo,2035,-2.4438926127481944
Benin,Benin,NetImport,Nigeria,2040,-0.0198529988358326
Benin,Benin,NetImport,Togo,2040,-2.87043833852966
Benin,Benin,NetImport,Nigeria,2045,-0.0355342773327433
Benin,Benin,NetImport,Togo,2045,-2.8576194210989416
Benin,Benin,TransmissionCapacity,Nigeria,2025,340.0
Benin,Benin,TransmissionCapacity,Togo,2025,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2026,340.0
Benin,Benin,TransmissionCapacity,Togo,2026,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2027,340.0
Benin,Benin,TransmissionCapacity,Togo,2027,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2028,340.0
Benin,Benin,TransmissionCapacity,Togo,2028,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2029,340.0
Benin,Benin,TransmissionCapacity,Togo,2029,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2030,340.0
Benin,Benin,TransmissionCapacity,Togo,2030,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2032,340.0
Benin,Benin,TransmissionCapacity,Togo,2032,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2035,340.0
Benin,Benin,TransmissionCapacity,Togo,2035,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2040,340.0
Benin,Benin,TransmissionCapacity,Togo,2040,340.0
Benin,Benin,TransmissionCapacity,Nigeria,2045,340.0
Benin,Benin,TransmissionCapacity,Togo,2045,340.0
Burkina,Burkina,CongestionShare,Benin,2025,1.0
Burkina,Burkina,CongestionShare,Mali,2025,1.0
Burkina,Burkina,CongestionShare,Benin,2026,1.0
Burkina,Burkina,CongestionShare,Ghana,2026,0.1944063926940639
Burkina,Burkina,CongestionShare,Mali,2026,1.0
Burkina,Burkina,CongestionShare,Benin,2027,1.0
Burkina,Burkina,CongestionShare,Ghana,2027,0.1019406392694064
Burkina,Burkina,CongestionShare,Mali,2027,1.0
Burkina,Burkina,CongestionShare,Benin,2028,1.0
Burkina,Burkina,CongestionShare,Ghana,2028,0.3945205479452054
Burkina,Burkina,CongestionShare,Mali,2028,1.0
Burkina,Burkina,CongestionShare,Benin,2029,1.0
Burkina,Burkina,CongestionShare,Ghana,2029,0.2472602739726027
Burkina,Burkina,CongestionShare,Mali,2029,1.0
Burkina,Burkina,CongestionShare,Benin,2030,1.0
Burkina,Burkina,CongestionShare,Ghana,2030,0.0484018264840182
Burkina,Burkina,CongestionShare,Mali,2030,1.0
Burkina,Burkina,CongestionShare,Benin,2032,1.0
Burkina,Burkina,CongestionShare,Ghana,2032,0.0779680365296803
Burkina,Burkina,CongestionShare,Mali,2032,1.0
Burkina,Burkina,CongestionShare,Benin,2035,1.0
Burkina,Burkina,CongestionShare,Ghana,2035,0.2571917808219178
Burkina,Burkina,CongestionShare,IvoryCoast,2035,0.0141552511415525
Burkina,Burkina,CongestionShare,Mali,2035,1.0
Burkina,Burkina,CongestionShare,Benin,2040,1.0
Burkina,Burkina,CongestionShare,Ghana,2040,1.0
Burkina,Burkina,CongestionShare,IvoryCoast,2040,0.0681506849315068
Burkina,Burkina,CongestionShare,Mali,2040,1.0
Burkina,Burkina,CongestionShare,Benin,2045,1.0
Burkina,Burkina,CongestionShare,Ghana,2045,1.0
Burkina,Burkina,CongestionShare,IvoryCoast,2045,0.9963470319634704
Burkina,Burkina,CongestionShare,Mali,2045,1.0
Burkina,Burkina,Interchange,Ghana,2025,145.0280695208383
Burkina,Burkina,Interchange,Ghana,2026,697.9678631262566
Burkina,Burkina,Interchange,Ghana,2027,430.0233869754885
Burkina,Burkina,Interchange,Ghana,2028,1124.423367503076
Burkina,Burkina,Interchange,Ghana,2029,814.3757744852812
Burkina,Burkina,Interchange,Ghana,2030,196.0000156557448
Burkina,Burkina,Interchange,IvoryCoast,2030,1.2344379229785898
Burkina,Burkina,Interchange,Ghana,2032,219.62316495991035
Burkina,Burkina,Interchange,IvoryCoast,2032,10.266093832971263
Burkina,Burkina,Interchange,Ghana,2035,700.9620169346662
Burkina,Burkina,Interchange,IvoryCoast,2035,36.33561268276854
Burkina,Burkina,Interchange,Ghana,2040,1927.2
Burkina,Burkina,Interchange,IvoryCoast,2040,107.12727134893149
Burkina,Burkina,Interchange,Ghana,2045,1927.2
Burkina,Burkina,Interchange,IvoryCoast,2045,1110.6682464655978
Burkina,Burkina,InterconUtilization,Ghana,2025,0.0752532531760265
Burkina,Burkina,InterconUtilization,Ghana,2026,0.3621668031995935
Burkina,Burkina,InterconUtilization,Ghana,2027,0.2231337624405814
Burkina,Burkina,InterconUtilization,Ghana,2028,0.5834492359397446
Burkina,Burkina,InterconUtilization,Ghana,2029,0.4225694139089255
