c,z,y,q,d,t,uni,value
Angola,Angola,2025,Q1,d1,t1,CCGT-Gas,750.0
Angola,Angola,2025,Q1,d1,t1,GT-Gas,336.0
Angola,Angola,2025,Q1,d1,t1,Reservoir,484.05074043191377
Angola,Angola,2025,Q1,d1,t1,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t1,Demand,1679.7727404319137
Angola,Angola,2025,Q1,d1,t2,CCGT-Gas,750.0
Angola,Angola,2025,Q1,d1,t2,GT-Gas,414.0
Angola,Angola,2025,Q1,d1,t2,Reservoir,297.85302129221924
Angola,Angola,2025,Q1,d1,t2,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t2,Demand,1571.575021292219
Angola,Angola,2025,Q1,d1,t3,CCGT-Gas,750.0
Angola,Angola,2025,Q1,d1,t3,GT-Gas,628.0
Angola,Angola,2025,Q1,d1,t3,Reservoir,45.76094039659661
Angola,Angola,2025,Q1,d1,t3,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t3,Demand,1533.4829403965964
Angola,Angola,2025,Q1,d1,t4,CCGT-Gas,586.7663087990612
Angola,Angola,2025,Q1,d1,t4,GT-Gas,700.0
Angola,Angola,2025,Q1,d1,t4,Reservoir,60.0
Angola,Angola,2025,Q1,d1,t4,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t4,Demand,1456.488308799061
Angola,Angola,2025,Q1,d1,t5,CCGT-Gas,750.0
Angola,Angola,2025,Q1,d1,t5,GT-Gas,572.4522146103661
Angola,Angola,2025,Q1,d1,t5,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t5,Demand,1432.174214610366
Angola,Angola,2025,Q1,d1,t6,CCGT-Gas,750.0
Angola,Angola,2025,Q1,d1,t6,GT-Gas,433.0
Angola,Angola,2025,Q1,d1,t6,Reservoir,111.49100629336608
Angola,Angola,2025,Q1,d1,t6,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t6,Demand,1404.213006293366
Angola,Angola,2025,Q1,d1,t7,CCGT-Gas,787.8764596556534
Angola,Angola,2025,Q1,d1,t7,GT-Gas,487.6285599307856
Angola,Angola,2025,Q1,d1,t7,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t7,PV,5.208
Angola,Angola,2025,Q1,d1,t7,Demand,1390.4350195864388
Angola,Angola,2025,Q1,d1,t8,GT-Gas,420.0
Angola,Angola,2025,Q1,d1,t8,Reservoir,997.7555287739874
Angola,Angola,2025,Q1,d1,t8,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t8,PV,54.6336
Angola,Angola,2025,Q1,d1,t8,Demand,1582.1111287739873
Angola,Angola,2025,Q1,d1,t9,CCGT-Gas,669.6160395966817
Angola,Angola,2025,Q1,d1,t9,GT-Gas,700.0
Angola,Angola,2025,Q1,d1,t9,Reservoir,60.0
Angola,Angola,2025,Q1,d1,t9,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t9,PV,123.0096
Angola,Angola,2025,Q1,d1,t9,Demand,1662.3476395966816
Angola,Angola,2025,Q1,d1,t10,CCGT-Gas,787.8764596556534
Angola,Angola,2025,Q1,d1,t10,GT-Gas,595.0
Angola,Angola,2025,Q1,d1,t10,Reservoir,30.26729573979624
Angola,Angola,2025,Q1,d1,t10,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t10,PV,177.97919999999996
Angola,Angola,2025,Q1,d1,t10,Demand,1700.8449553954497
Angola,Angola,2025,Q1,d1,t11,CCGT-Gas,50.91776371244946
Angola,Angola,2025,Q1,d1,t11,GT-Gas,394.0
Angola,Angola,2025,Q1,d1,t11,Reservoir,960.0
Angola,Angola,2025,Q1,d1,t11,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t11,PV,214.1664
Angola,Angola,2025,Q1,d1,t11,Demand,1728.8061637124492
Angola,Angola,2025,Q1,d1,t12,CCGT-Gas,750.0
Angola,Angola,2025,Q1,d1,t12,GT-Gas,615.5062795112169
Angola,Angola,2025,Q1,d1,t12,Reservoir,60.0
Angola,Angola,2025,Q1,d1,t12,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t12,PV,232.0752
Angola,Angola,2025,Q1,d1,t12,Demand,1767.303479511217
Angola,Angola,2025,Q1,d1,t13,GT-Gas,678.0
Angola,Angola,2025,Q1,d1,t13,Reservoir,604.3575587010595
Angola,Angola,2025,Q1,d1,t13,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t13,PV,232.17599999999996
Angola,Angola,2025,Q1,d1,t13,Demand,1624.255558701059
Angola,Angola,2025,Q1,d1,t14,CCGT-Gas,750.0
Angola,Angola,2025,Q1,d1,t14,GT-Gas,546.0
Angola,Angola,2025,Q1,d1,t14,Reservoir,0.7872445727549184
Angola,Angola,2025,Q1,d1,t14,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t14,PV,214.0992
Angola,Angola,2025,Q1,d1,t14,Demand,1620.6084445727547
Angola,Angola,2025,Q1,d1,t15,CCGT-Gas,750.0
Angola,Angola,2025,Q1,d1,t15,GT-Gas,302.0
Angola,Angola,2025,Q1,d1,t15,Reservoir,283.74795870105936
Angola,Angola,2025,Q1,d1,t15,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t15,PV,178.78560000000002
Angola,Angola,2025,Q1,d1,t15,Demand,1624.255558701059
Angola,Angola,2025,Q1,d1,t16,CCGT-Gas,750.0
Angola,Angola,2025,Q1,d1,t16,GT-Gas,131.0
Angola,Angola,2025,Q1,d1,t16,Reservoir,542.6861603715229
Angola,Angola,2025,Q1,d1,t16,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t16,PV,125.6976
Angola,Angola,2025,Q1,d1,t16,Demand,1659.1057603715226
Angola,Angola,2025,Q1,d1,t17,CCGT-Gas,750.0
Angola,Angola,2025,Q1,d1,t17,GT-Gas,600.0
Angola,Angola,2025,Q1,d1,t17,Reservoir,219.74507119421688
Angola,Angola,2025,Q1,d1,t17,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t17,PV,59.87519999999999
Angola,Angola,2025,Q1,d1,t17,Demand,1739.342271194217
Angola,Angola,2025,Q1,d1,t18,GT-Gas,661.8965670533761
