c,z,attribute,y,value
Burundi,Burundi,CapexInvestmentComponent,2026,44800000.0
Burundi,Burundi,CapexInvestmentComponent,2028,575268354.9392138
Burundi,Burundi,CapexInvestmentComponent,2030,322440218.6876812
Burundi,Burundi,CapexInvestmentComponent,2032,122342172.44494562
Burundi,Burundi,CapexInvestmentComponent,2034,79131947.36269325
Burundi,Burundi,CapexInvestmentComponent,2036,70584575.25627063
Burundi,Burundi,CapexInvestmentComponent,2038,75821904.0516052
Burundi,Burundi,CapexInvestmentComponent,2040,97767619.3679586
Burundi,Burundi,CapexInvestmentComponentCumulated,2026,44800000.0
Burundi,Burundi,CapexInvestmentComponentCumulated,2028,620068354.9392138
Burundi,Burundi,CapexInvestmentComponentCumulated,2030,942508573.626895
Burundi,Burundi,CapexInvestmentComponentCumulated,2032,1064850746.0718404
Burundi,Burundi,CapexInvestmentComponentCumulated,2034,1143982693.4345338
Burundi,Burundi,CapexInvestmentComponentCumulated,2036,1214567268.6908045
Burundi,Burundi,CapexInvestmentComponentCumulated,2038,1290389172.7424097
Burundi,Burundi,CapexInvestmentComponentCumulated,2040,1388156792.1103685
Burundi,Burundi,Costs,2026,845.1998998265879
Burundi,Burundi,Costs,2028,93.57802572769202
Burundi,Burundi,Costs,2030,37.42008458760131
Burundi,Burundi,Costs,2032,39.70880510451386
Burundi,Burundi,Costs,2034,45.21907728442145
Burundi,Burundi,Costs,2036,51.99793005255506
Burundi,Burundi,Costs,2038,61.47351158499014
Burundi,Burundi,Costs,2040,70.91160089250576
Burundi,Burundi,CostsPerMWh,2026,501.364277984688
Burundi,Burundi,CostsPerMWh,2028,45.05761205381744
Burundi,Burundi,CostsPerMWh,2030,16.213132078531018
Burundi,Burundi,CostsPerMWh,2032,15.448453403273014
Burundi,Burundi,CostsPerMWh,2034,15.972731588999125
Burundi,Burundi,CostsPerMWh,2036,16.872527840633172
Burundi,Burundi,CostsPerMWh,2038,18.53544398378556
Burundi,Burundi,CostsPerMWh,2040,19.97717966599337
Burundi,Burundi,DemandEnergyZone,2026,1685.8000000000018
Burundi,Burundi,DemandEnergyZone,2028,2076.8527550000017
Burundi,Burundi,DemandEnergyZone,2030,2308.01084
