c,z,attribute,y,uni,uni,value
Uganda,Uganda,CongestionShare,2036,Tanzania,Tanzania,0.2234018264840182
Uganda,Uganda,CongestionShare,2038,Tanzania,Tanzania,0.1529680365296803
Uganda,Uganda,CongestionShare,2040,Tanzania,Tanzania,0.2348173515981735
Uganda,Uganda,Interchange,2026,Tanzania,Tanzania,398.46683467697727
Uganda,Uganda,Interchange,2028,Tanzania,Tanzania,423.33725007210194
Uganda,Uganda,Interchange,2030,Tanzania,Tanzania,151.71022677655122
Uganda,Uganda,Interchange,2032,Tanzania,Tanzania,73.76633207307566
Uganda,Uganda,Interchange,2034,Tanzania,Tanzania,64.61067031439642
Uganda,Uganda,Interchange,2036,Tanzania,Tanzania,151.22043830754583
Uganda,Uganda,Interchange,2038,Tanzania,Tanzania,100.60655126835856
Uganda,Uganda,Interchange,2040,Tanzania,Tanzania,153.34241651122372
Uganda,Uganda,InterconUtilization,2026,Tanzania,Tanzania,0.6498154512018546
Uganda,Uganda,InterconUtilization,2028,Tanzania,Tanzania,0.6903738585650717
Uganda,Uganda,InterconUtilization,2030,Tanzania,Tanzania,0.2474074148345584
Uganda,Uganda,InterconUtilization,2032,Tanzania,Tanzania,0.1202973451941873
Uganda,Uganda,InterconUtilization,2034,Tanzania,Tanzania,0.1053663899451996
Uganda,Uganda,InterconUtilization,2036,Tanzania,Tanzania,0.2466086730390506
Uganda,Uganda,InterconUtilization,2038,Tanzania,Tanzania,0.164068088
Uganda,Uganda,InterconUtilization,2040,Tanzania,Tanzania,0.2500691723927327
Uganda,Uganda,NetImport,2026,Tanzania,Tanzania,-0.398466835
Uganda,Uganda,NetImport,2028,Tanzania,Tanzania,-0.42333725
Uganda,Uganda,NetImport,2030,Tanzania,Tanzania,-0.151710227
Uganda,Uganda,NetImport,2032,Tanzania,Tanzania,-0.073766332
Uganda,Uganda,NetImport,2034,Tanzania,Tanzania,-0.06461067
Uganda,Uganda,NetImport,2036,Tanzania,Tanzania,-0.151220438
Uganda,Uganda,NetImport,2038,Tanzania,Tanzania,-0.100606551
Uganda,Uganda,NetImport,2040,Tanzania,Tanzania,-0.153342417
Uganda,Uganda,TransmissionCapacity,2026,Tanzania,Tanzania,70
Uganda,Uganda,TransmissionCapacity,2028,Tanzania,Tanzania,70
Uganda,Uganda,TransmissionCapacity,2030,Tanzania,Tanzania,70
Uganda,Uganda,TransmissionCapacity,2032,Tanzania,Tanzania,70
Uganda,Uganda,TransmissionCapacity,2034,Tanzania,Tanzania,70
Uganda,Uganda,TransmissionCapacity,2036,Tanzania,Tanzania,70
Uganda,Uganda,TransmissionCapacity,2038,Tanzania,Tanzania,70
Uganda,Uganda,TransmissionCapacity,2040,Tanzania,Tanzania,70
