q,d,t,value
Q1,d1,t1,1
Q1,d1,t2,1
Q1,d1,t3,1
Q1,d1,t4,1
Q1,d1,t5,1
Q1,d1,t6,1
Q1,d1,t7,1
Q1,d1,t8,1
Q1,d1,t9,1
Q1,d1,t10,1
Q1,d1,t11,1
Q1,d1,t12,1
Q1,d1,t13,1
Q1,d1,t14,1
Q1,d1,t15,1
Q1,d1,t16,1
Q1,d1,t17,1
Q1,d1,t18,1
Q1,d1,t19,1
Q1,d1,t20,1
Q1,d1,t21,1
Q1,d1,t22,1
Q1,d1,t23,1
Q1,d1,t24,1
Q1,d2,t1,1
Q1,d2,t2,1
Q1,d2,t3,1
Q1,d2,t4,1
Q1,d2,t5,1
Q1,d2,t6,1
Q1,d2,t7,1
Q1,d2,t8,1
Q1,d2,t9,1
Q1,d2,t10,1
Q1,d2,t11,1
Q1,d2,t12,1
Q1,d2,t13,1
Q1,d2,t14,1
Q1,d2,t15,1
Q1,d2,t16,1
Q1,d2,t17,1
Q1,d2,t18,1
Q1,d2,t19,1
Q1,d2,t20,1
Q1,d2,t21,1
Q1,d2,t22,1
Q1,d2,t23,1
Q1,d2,t24,1
Q1,d3,t1,22
Q1,d3,t2,22
Q1,d3,t3,22
Q1,d3,t4,22
Q1,d3,t5,22
Q1,d3,t6,22
Q1,d3,t7,22
Q1,d3,t8,22
Q1,d3,t9,22
Q1,d3,t10,22
Q1,d3,t11,22
Q1,d3,t12,22
Q1,d3,t13,22
Q1,d3,t14,22
Q1,d3,t15,22
Q1,d3,t16,22
Q1,d3,t17,22
Q1,d3,t18,22
Q1,d3,t19,22
Q1,d3,t20,22
Q1,d3,t21,22
Q1,d3,t22,22
Q1,d3,t23,22
Q1,d3,t24,22
Q1,d4,t1,29
Q1,d4,t2,29
Q1,d4,t3,29
Q1,d4,t4,29
Q1,d4,t5,29
Q1,d4,t6,29
Q1,d4,t7,29
Q1,d4,t8,29
Q1,d4,t9,29
Q1,d4,t10,29
Q1,d4,t11,29
Q1,d4,t12,29
Q1,d4,t13,29
Q1,d4,t14,29
Q1,d4,t15,29
Q1,d4,t16,29
Q1,d4,t17,29
Q1,d4,t18,29
Q1,d4,t19,29
Q1,d4,t20,29
Q1,d4,t21,29
Q1,d4,t22,29
Q1,d4,t23,29
