attribute,uni,value
NetPresentCostSystem,Carbon costs: $m,0.0
NetPresentCostSystem,Excess generation: $m,0.0
NetPresentCostSystem,Export revenues with external zones: $m,0.0
NetPresentCostSystem,Export revenues with internal zones: $m,-6990.52084243792
NetPresentCostSystem,Fixed O&M: $m,43437.0015070129
NetPresentCostSystem,Fuel costs: $m,212364.1749245327
NetPresentCostSystem,Generation costs: $m,0.0
NetPresentCostSystem,Import costs with external zones: $m,0.0
NetPresentCostSystem,Import costs with internal zones: $m,13283.338041018404
NetPresentCostSystem,NPV of system cost: $m,338839.19365981966
NetPresentCostSystem,Spinning reserve costs: $m,12.820613141423916
NetPresentCostSystem,Startup costs: $m,0.0
NetPresentCostSystem,Trade shared benefits: $m,-6292.817198580499
NetPresentCostSystem,Transmission costs: $m,0.0
NetPresentCostSystem,Unmet country CO2 backstop cost: $m,0.0
NetPresentCostSystem,Unmet country planning reserve costs: $m,891.3549289696076
NetPresentCostSystem,Unmet country spinning reserve costs: $m,425.9423350262422
NetPresentCostSystem,Unmet demand costs: $m,6540.394995864021
NetPresentCostSystem,Unmet system CO2 backstop cost: $m,0.0
NetPresentCostSystem,Unmet system planning reserve costs: $m,0.0
NetPresentCostSystem,Unmet system spinning reserve costs: $m,0.0
NetPresentCostSystem,VRE curtailment: $m,0.0
NetPresentCostSystem,Variable O&M: $m,10227.632227926852
NetPresentCostSystemPerMWh,Carbon costs: $m,0.0
NetPresentCostSystemPerMWh,Excess generation: $m,0.0
NetPresentCostSystemPerMWh,Export revenues with external zones: $m,0.0
NetPresentCostSystemPerMWh,Export revenues with internal zones: $m,-1.3272934033911687
NetPresentCostSystemPerMWh,Fixed O&M: $m,8.247403428561121
NetPresentCostSystemPerMWh,Fuel costs: $m,40.32168344063466
NetPresentCostSystemPerMWh,Generation costs: $m,0.0
NetPresentCostSystemPerMWh,Import costs with external zones: $m,0.0
NetPresentCostSystemPerMWh,Import costs with internal zones: $m,2.5221134954387727
NetPresentCostSystemPerMWh,NPV of system cost: $m,64.33555334314924
NetPresentCostSystemPerMWh,Spinning reserve costs: $m,0.0024342557062039
NetPresentCostSystemPerMWh,Startup costs: $m,0.0
NetPresentCostSystemPerMWh,Trade shared benefits: $m,-1.194820092047607
NetPresentCostSystemPerMWh,Transmission costs: $m,0.0
NetPresentCostSystemPerMWh,Unmet country CO2 backstop cost: $m,0.0
NetPresentCostSystemPerMWh,Unmet country planning reserve costs: $m,0.1692419697999163
NetPresentCostSystemPerMWh,Unmet country spinning reserve costs: $m,0.0808738668044938
NetPresentCostSystemPerMWh,Unmet demand costs: $m,1.241827802140627
NetPresentCostSystemPerMWh,Unmet system CO2 backstop cost: $m,0.0
NetPresentCostSystemPerMWh,Unmet system planning reserve costs: $m,0.0
NetPresentCostSystemPerMWh,Unmet system spinning reserve costs: $m,0.0
NetPresentCostSystemPerMWh,VRE curtailment: $m,0.0
NetPresentCostSystemPerMWh,Variable O&M: $m,1.9419252290940847
