c,z,attribute,y,uni,z2,value
Burundi,Burundi,Interchange,2030,Rwanda,Rwanda,143.9681765
Burundi,Burundi,Interchange,2032,Rwanda,Rwanda,282.7896053
Burundi,Burundi,Interchange,2034,Rwanda,Rwanda,202.3193734
Burundi,Burundi,Interchange,2036,Rwanda,Rwanda,57.49309346
Burundi,Burundi,Interchange,2038,Rwanda,Rwanda,120.8743439
Burundi,Burundi,Interchange,2040,Rwanda,Rwanda,66.35555303
Burundi,Burundi,InterconUtilization,2030,Rwanda,Rwanda,0.082173617
Burundi,Burundi,InterconUtilization,2032,Rwanda,Rwanda,0.161409592
Burundi,Burundi,InterconUtilization,2034,Rwanda,Rwanda,0.115479094
Burundi,Burundi,InterconUtilization,2036,Rwanda,Rwanda,0.032815693
Burundi,Burundi,InterconUtilization,2038,Rwanda,Rwanda,0.068992205
Burundi,Burundi,InterconUtilization,2040,Rwanda,Rwanda,0.037874174
Burundi,Burundi,NetImport,2030,Rwanda,Rwanda,-0.143968177
Burundi,Burundi,NetImport,2032,Rwanda,Rwanda,-0.282789605
Burundi,Burundi,NetImport,2034,Rwanda,Rwanda,-0.202319373
Burundi,Burundi,NetImport,2036,Rwanda,Rwanda,-0.057493093
Burundi,Burundi,NetImport,2038,Rwanda,Rwanda,-0.120874344
Burundi,Burundi,NetImport,2040,Rwanda,Rwanda,-0.066355553
Burundi,Burundi,TransmissionCapacity,2026,Rwanda,Rwanda,200
Burundi,Burundi,TransmissionCapacity,2028,Rwanda,Rwanda,200
Burundi,Burundi,TransmissionCapacity,2030,Rwanda,Rwanda,200
Burundi,Burundi,TransmissionCapacity,2032,Rwanda,Rwanda,200
Burundi,Burundi,TransmissionCapacity,2034,Rwanda,Rwanda,200
Burundi,Burundi,TransmissionCapacity,2036,Rwanda,Rwanda,200
Burundi,Burundi,TransmissionCapacity,2038,Rwanda,Rwanda,200
Burundi,Burundi,TransmissionCapacity,2040,Rwanda,Rwanda,200
Djibouti,Djibouti,Interchange,2026,Ethiopia,Ethiopia,0.018737439
Djibouti,Djibouti,Interchange,2028,Ethiopia,Ethiopia,11.51019635
Djibouti,Djibouti,Interchange,2030,Ethiopia,Ethiopia,2.995845589
Djibouti,Djibouti,Interchange,2032,Ethiopia,Ethiopia,57.71878813
Djibouti,Djibouti,Interchange,2034,Ethiopia,Ethiopia,34.11406076
Djibouti,Djibouti,Interchange,2038,Ethiopia,Ethiopia,4.666972149
Djibouti,Djibouti,Interchange,2040,Ethiopia,Ethiopia,64.63863186
Djibouti,Djibouti,InterconUtilization,2026,Ethiopia,Ethiopia,2.25E-05
Djibouti,Djibouti,InterconUtilization,2028,Ethiopia,Ethiopia,0.004777998
Djibouti,Djibouti,InterconUtilization,2030,Ethiopia,Ethiopia,0.001243605
Djibouti,Djibouti,InterconUtilization,2032,Ethiopia,Ethiopia,0.023959646
Djibouti,Djibouti,InterconUtilization,2034,Ethiopia,Ethiopia,0.014161088
Djibouti,Djibouti,InterconUtilization,2038,Ethiopia,Ethiopia,0.001937307
Djibouti,Djibouti,InterconUtilization,2040,Ethiopia,Ethiopia,0.026832143
Djibouti,Djibouti,NetImport,2026,Ethiopia,Ethiopia,-1.87E-05
Djibouti,Djibouti,NetImport,2028,Ethiopia,Ethiopia,-0.011510196
Djibouti,Djibouti,NetImport,2030,Ethiopia,Ethiopia,-0.002995846
Djibouti,Djibouti,NetImport,2032,Ethiopia,Ethiopia,-0.057718788
Djibouti,Djibouti,NetImport,2034,Ethiopia,Ethiopia,-0.034114061
Djibouti,Djibouti,NetImport,2038,Ethiopia,Ethiopia,-0.004666972
Djibouti,Djibouti,NetImport,2040,Ethiopia,Ethiopia,-0.064638632
Djibouti,Djibouti,TransmissionCapacity,2026,Ethiopia,Ethiopia,95
Djibouti,Djibouti,TransmissionCapacity,2028,Ethiopia,Ethiopia,275
Djibouti,Djibouti,TransmissionCapacity,2030,Ethiopia,Ethiopia,275
Djibouti,Djibouti,TransmissionCapacity,2032,Ethiopia,Ethiopia,275
Djibouti,Djibouti,TransmissionCapacity,2034,Ethiopia,Ethiopia,275
Djibouti,Djibouti,TransmissionCapacity,2036,Ethiopia,Ethiopia,275
Djibouti,Djibouti,TransmissionCapacity,2038,Ethiopia,Ethiopia,275
Djibouti,Djibouti,TransmissionCapacity,2040,Ethiopia,Ethiopia,275
Egypt,Egypt,CongestionShare,2026,Libya,Libya,0.832305936
Egypt,Egypt,CongestionShare,2026,Sudan,Sudan,0.655251142
Egypt,Egypt,CongestionShare,2028,Libya,Libya,0.788926941
Egypt,Egypt,CongestionShare,2028,Sudan,Sudan,0.565639269
Egypt,Egypt,CongestionShare,2030,Libya,Libya,0.792579909
Egypt,Egypt,CongestionShare,2030,Sudan,Sudan,0.591438356
Egypt,Egypt,CongestionShare,2032,Libya,Libya,0.838127854
Egypt,Egypt,CongestionShare,2032,Sudan,Sudan,0.583219178
