c,z,y,q,d,t,uni,value
Angola,Angola,2025,Q1,d1,t1,CCGT-Gas,422.05074043191354
Angola,Angola,2025,Q1,d1,t1,GT-Gas,385.0
Angola,Angola,2025,Q1,d1,t1,ICE-Diesel,183.0
Angola,Angola,2025,Q1,d1,t1,Reservoir,580.0
Angola,Angola,2025,Q1,d1,t1,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t1,Demand,1679.7727404319137
Angola,Angola,2025,Q1,d1,t2,GT-Gas,500.8999999999942
Angola,Angola,2025,Q1,d1,t2,ICE-Diesel,214.0
Angola,Angola,2025,Q1,d1,t2,Reservoir,746.9530212922248
Angola,Angola,2025,Q1,d1,t2,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t2,Demand,1571.575021292219
Angola,Angola,2025,Q1,d1,t3,GT-Gas,525.0
Angola,Angola,2025,Q1,d1,t3,ICE-Diesel,183.0
Angola,Angola,2025,Q1,d1,t3,Reservoir,715.7609403965964
Angola,Angola,2025,Q1,d1,t3,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t3,Demand,1533.4829403965964
Angola,Angola,2025,Q1,d1,t4,CCGT-Gas,284.76630879906116
Angola,Angola,2025,Q1,d1,t4,GT-Gas,280.0
Angola,Angola,2025,Q1,d1,t4,ICE-Diesel,262.0
Angola,Angola,2025,Q1,d1,t4,Reservoir,520.0
Angola,Angola,2025,Q1,d1,t4,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t4,Demand,1456.488308799061
Angola,Angola,2025,Q1,d1,t5,GT-Gas,364.0
Angola,Angola,2025,Q1,d1,t5,ICE-Diesel,288.0
Angola,Angola,2025,Q1,d1,t5,Reservoir,670.4522146103659
Angola,Angola,2025,Q1,d1,t5,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t5,Demand,1432.174214610366
Angola,Angola,2025,Q1,d1,t6,GT-Gas,414.0
Angola,Angola,2025,Q1,d1,t6,ICE-Diesel,242.0
Angola,Angola,2025,Q1,d1,t6,Reservoir,638.4910062933659
Angola,Angola,2025,Q1,d1,t6,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t6,Demand,1404.213006293366
Angola,Angola,2025,Q1,d1,t7,GT-Gas,225.0
Angola,Angola,2025,Q1,d1,t7,ICE-Diesel,319.0
Angola,Angola,2025,Q1,d1,t7,Reservoir,731.505019586439
Angola,Angola,2025,Q1,d1,t7,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t7,PV,5.208
Angola,Angola,2025,Q1,d1,t7,Demand,1390.4350195864388
Angola,Angola,2025,Q1,d1,t8,GT-Gas,371.0
Angola,Angola,2025,Q1,d1,t8,ICE-Diesel,212.0
Angola,Angola,2025,Q1,d1,t8,Reservoir,834.7555287739874
Angola,Angola,2025,Q1,d1,t8,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t8,PV,54.6336
Angola,Angola,2025,Q1,d1,t8,Demand,1582.1111287739873
Angola,Angola,2025,Q1,d1,t9,GT-Gas,475.0
Angola,Angola,2025,Q1,d1,t9,ICE-Diesel,183.0
Angola,Angola,2025,Q1,d1,t9,Reservoir,771.616039596682
Angola,Angola,2025,Q1,d1,t9,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t9,PV,123.0096
Angola,Angola,2025,Q1,d1,t9,Demand,1662.3476395966816
Angola,Angola,2025,Q1,d1,t10,CCGT-Gas,345.14375539545
Angola,Angola,2025,Q1,d1,t10,GT-Gas,286.0
Angola,Angola,2025,Q1,d1,t10,ICE-Diesel,262.0
Angola,Angola,2025,Q1,d1,t10,Reservoir,520.0
Angola,Angola,2025,Q1,d1,t10,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t10,PV,177.97919999999996
Angola,Angola,2025,Q1,d1,t10,Demand,1700.8449553954497
Angola,Angola,2025,Q1,d1,t11,GT-Gas,519.0
Angola,Angola,2025,Q1,d1,t11,ICE-Diesel,183.0
Angola,Angola,2025,Q1,d1,t11,Reservoir,702.9177637124494
Angola,Angola,2025,Q1,d1,t11,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t11,PV,214.1664
Angola,Angola,2025,Q1,d1,t11,Demand,1728.8061637124492
Angola,Angola,2025,Q1,d1,t12,CCGT-Gas,357.506279511217
Angola,Angola,2025,Q1,d1,t12,GT-Gas,336.0
Angola,Angola,2025,Q1,d1,t12,ICE-Diesel,212.0
Angola,Angola,2025,Q1,d1,t12,Reservoir,520.0
Angola,Angola,2025,Q1,d1,t12,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t12,PV,232.0752
Angola,Angola,2025,Q1,d1,t12,Demand,1767.303479511217
Angola,Angola,2025,Q1,d1,t13,CCGT-Gas,265.3575587010594
Angola,Angola,2025,Q1,d1,t13,GT-Gas,254.0
Angola,Angola,2025,Q1,d1,t13,ICE-Diesel,183.0
Angola,Angola,2025,Q1,d1,t13,Reservoir,580.0
Angola,Angola,2025,Q1,d1,t13,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t13,PV,232.17599999999996
Angola,Angola,2025,Q1,d1,t13,Demand,1624.255558701059
Angola,Angola,2025,Q1,d1,t14,GT-Gas,415.0
Angola,Angola,2025,Q1,d1,t14,ICE-Diesel,278.0
Angola,Angola,2025,Q1,d1,t14,Reservoir,603.7872445727546
Angola,Angola,2025,Q1,d1,t14,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t14,PV,214.0992
Angola,Angola,2025,Q1,d1,t14,Demand,1620.6084445727547
Angola,Angola,2025,Q1,d1,t15,GT-Gas,405.0
Angola,Angola,2025,Q1,d1,t15,ICE-Diesel,183.0
Angola,Angola,2025,Q1,d1,t15,Reservoir,747.7479587010591
Angola,Angola,2025,Q1,d1,t15,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t15,PV,178.78560000000002
Angola,Angola,2025,Q1,d1,t15,Demand,1624.255558701059
Angola,Angola,2025,Q1,d1,t16,GT-Gas,426.0
Angola,Angola,2025,Q1,d1,t16,ICE-Diesel,262.0
Angola,Angola,2025,Q1,d1,t16,Reservoir,735.6861603715229
Angola,Angola,2025,Q1,d1,t16,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t16,PV,125.6976
Angola,Angola,2025,Q1,d1,t16,Demand,1659.1057603715226
Angola,Angola,2025,Q1,d1,t17,CCGT-Gas,452.7450711942168
Angola,Angola,2025,Q1,d1,t17,GT-Gas,364.0
Angola,Angola,2025,Q1,d1,t17,ICE-Diesel,233.0
Angola,Angola,2025,Q1,d1,t17,Reservoir,520.0
Angola,Angola,2025,Q1,d1,t17,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t17,PV,59.87519999999999
Angola,Angola,2025,Q1,d1,t17,Demand,1739.342271194217
Angola,Angola,2025,Q1,d1,t18,CCGT-Gas,750.0
Angola,Angola,2025,Q1,d1,t18,GT-Gas,336.0
Angola,Angola,2025,Q1,d1,t18,ICE-Diesel,262.0
Angola,Angola,2025,Q1,d1,t18,Reservoir,333.89656705337603
Angola,Angola,2025,Q1,d1,t18,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t18,PV,6.888000000000001
Angola,Angola,2025,Q1,d1,t18,Demand,1798.506567053376
Angola,Angola,2025,Q1,d1,t19,CCGT-Gas,750.0
Angola,Angola,2025,Q1,d1,t19,GT-Gas,364.0
Angola,Angola,2025,Q1,d1,t19,ICE-Diesel,178.0
Angola,Angola,2025,Q1,d1,t19,Reservoir,798.3723560699941
Angola,Angola,2025,Q1,d1,t19,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t19,Demand,2200.094356069994
Angola,Angola,2025,Q1,d1,t20,CCGT-Gas,750.0
Angola,Angola,2025,Q1,d1,t20,GT-Gas,345.0
Angola,Angola,2025,Q1,d1,t20,ICE-Diesel,209.0
Angola,Angola,2025,Q1,d1,t20,Reservoir,897.8119544348476
Angola,Angola,2025,Q1,d1,t20,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t20,Demand,2311.5339544348476
Angola,Angola,2025,Q1,d1,t21,CCGT-Gas,750.0
Angola,Angola,2025,Q1,d1,t21,GT-Gas,394.0
Angola,Angola,2025,Q1,d1,t21,ICE-Diesel,137.0
Angola,Angola,2025,Q1,d1,t21,Reservoir,840.5754436121533
Angola,Angola,2025,Q1,d1,t21,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t21,Demand,2231.297443612153
Angola,Angola,2025,Q1,d1,t22,CCGT-Gas,750.0
Angola,Angola,2025,Q1,d1,t22,GT-Gas,286.0
Angola,Angola,2025,Q1,d1,t22,ICE-Diesel,259.0
Angola,Angola,2025,Q1,d1,t22,Reservoir,749.9860469177627
Angola,Angola,2025,Q1,d1,t22,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t22,Demand,2154.7080469177627
Angola,Angola,2025,Q1,d1,t23,CCGT-Gas,195.08792443714157
Angola,Angola,2025,Q1,d1,t23,GT-Gas,575.0
Angola,Angola,2025,Q1,d1,t23,ICE-Diesel,137.0
Angola,Angola,2025,Q1,d1,t23,Reservoir,960.0
Angola,Angola,2025,Q1,d1,t23,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t23,Demand,1976.8099244371415
Angola,Angola,2025,Q1,d1,t24,CCGT-Gas,750.0
Angola,Angola,2025,Q1,d1,t24,GT-Gas,569.0
Angola,Angola,2025,Q1,d1,t24,ICE-Diesel,137.0
Angola,Angola,2025,Q1,d1,t24,Reservoir,212.11758699298508
Angola,Angola,2025,Q1,d1,t24,ROR,109.72199999999978
Angola,Angola,2025,Q1,d1,t24,Demand,1777.8395869929848
Angola,Angola,2025,Q1,d2,t1,CCGT-Gas,750.0
Angola,Angola,2025,Q1,d2,t1,GT-Gas,495.0
Angola,Angola,2025,Q1,d2,t1,ICE-Diesel,137.0
Angola,Angola,2025,Q1,d2,t1,Reservoir,231.8161099715651
Angola,Angola,2025,Q1,d2,t1,ROR,109.72199999999978
Angola,Angola,2025,Q1,d2,t1,Demand,1723.5381099715648
Angola,Angola,2025,Q1,d2,t2,CCGT-Gas,750.0
Angola,Angola,2025,Q1,d2,t2,GT-Gas,336.0
Angola,Angola,2025,Q1,d2,t2,ICE-Diesel,187.0
Angola,Angola,2025,Q1,d2,t2,Reservoir,230.997451219291
Angola,Angola,2025,Q1,d2,t2,ROR,109.72199999999978
Angola,Angola,2025,Q1,d2,t2,Demand,1613.719451219291
Angola,Angola,2025,Q1,d2,t3,CCGT-Gas,750.0
Angola,Angola,2025,Q1,d2,t3,GT-Gas,495.0
Angola,Angola,2025,Q1,d2,t3,ICE-Diesel,137.0
Angola,Angola,2025,Q1,d2,t3,Reservoir,82.68966561423376
Angola,Angola,2025,Q1,d2,t3,ROR,109.72199999999978
