attribute,uni,value
NetPresentCostSystem,Carbon costs: $m,84927.30816812313
NetPresentCostSystem,Excess generation: $m,0.0
NetPresentCostSystem,Export revenues with external zones: $m,0.0
NetPresentCostSystem,Export revenues with internal zones: $m,-46355.667225869256
NetPresentCostSystem,Fixed O&M: $m,50688.33056419597
NetPresentCostSystem,Fuel costs: $m,74355.70999139968
NetPresentCostSystem,Generation costs: $m,0.0
NetPresentCostSystem,Import costs with external zones: $m,0.0
NetPresentCostSystem,Import costs with internal zones: $m,196154.8901990268
NetPresentCostSystem,NPV of system cost: $m,566440.6008111791
NetPresentCostSystem,Spinning reserve costs: $m,0.0
NetPresentCostSystem,Startup costs: $m,0.0
NetPresentCostSystem,Trade shared benefits: $m,-149799.2229731575
NetPresentCostSystem,Transmission costs: $m,1196.0291400718072
NetPresentCostSystem,Unmet country CO2 backstop cost: $m,0.0
NetPresentCostSystem,Unmet country planning reserve costs: $m,743.9545730066031
NetPresentCostSystem,Unmet country spinning reserve costs: $m,191.81829105994464
NetPresentCostSystem,Unmet demand costs: $m,286046.2798691748
NetPresentCostSystem,Unmet system CO2 backstop cost: $m,0.0
NetPresentCostSystem,Unmet system planning reserve costs: $m,919.2729810612084
NetPresentCostSystem,Unmet system spinning reserve costs: $m,0.0
NetPresentCostSystem,VRE curtailment: $m,0.0
NetPresentCostSystem,Variable O&M: $m,5605.7181030206575
NetPresentCostSystemPerMWh,Carbon costs: $m,19.80190052477932
NetPresentCostSystemPerMWh,Excess generation: $m,0.0
NetPresentCostSystemPerMWh,Export revenues with external zones: $m,0.0
NetPresentCostSystemPerMWh,Export revenues with internal zones: $m,-10.808423473746394
NetPresentCostSystemPerMWh,Fixed O&M: $m,11.818639978702178
NetPresentCostSystemPerMWh,Fuel costs: $m,17.33699565496985
NetPresentCostSystemPerMWh,Generation costs: $m,0.0
NetPresentCostSystemPerMWh,Import costs with external zones: $m,0.0
NetPresentCostSystemPerMWh,Import costs with internal zones: $m,45.736050122780895
NetPresentCostSystemPerMWh,NPV of system cost: $m,132.07295359290896
NetPresentCostSystemPerMWh,Spinning reserve costs: $m,0.0
NetPresentCostSystemPerMWh,Startup costs: $m,0.0
NetPresentCostSystemPerMWh,Trade shared benefits: $m,-34.927626649034494
NetPresentCostSystemPerMWh,Transmission costs: $m,0.278869665921294
NetPresentCostSystemPerMWh,Unmet country CO2 backstop cost: $m,0.0
NetPresentCostSystemPerMWh,Unmet country planning reserve costs: $m,0.1734626325429784
NetPresentCostSystemPerMWh,Unmet country spinning reserve costs: $m,0.0447249159349652
NetPresentCostSystemPerMWh,Unmet demand costs: $m,66.69539046545013
NetPresentCostSystemPerMWh,Unmet system CO2 backstop cost: $m,0.0
NetPresentCostSystemPerMWh,Unmet system planning reserve costs: $m,0.2143403873116503
NetPresentCostSystemPerMWh,Unmet system spinning reserve costs: $m,0.0
NetPresentCostSystemPerMWh,VRE curtailment: $m,0.0
NetPresentCostSystemPerMWh,Variable O&M: $m,1.3070456916663964
