c,z,attribute,uni,y,value
System,System,NetPresentCostSystem,Carbon costs: $m,,0.0
System,System,NetPresentCostSystem,Excess generation: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystem,Export revenues with internal zones: $m,,-33732.838222069324
System,System,NetPresentCostSystem,Fixed O&M: $m,,37245.26056270803
System,System,NetPresentCostSystem,Fuel costs: $m,,70983.17193111424
System,System,NetPresentCostSystem,Generation costs: $m,,0.0
System,System,NetPresentCostSystem,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystem,Import costs with internal zones: $m,,120443.58627968824
System,System,NetPresentCostSystem,NPV of system cost: $m,,167616.98887753914
System,System,NetPresentCostSystem,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,Startup costs: $m,,0.0
System,System,NetPresentCostSystem,Trade shared benefits: $m,,-86710.74805761888
System,System,NetPresentCostSystem,Transmission costs: $m,,934.098095467638
System,System,NetPresentCostSystem,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet country planning reserve costs: $m,,337.9279132824565
System,System,NetPresentCostSystem,Unmet country spinning reserve costs: $m,,132.786712038402
System,System,NetPresentCostSystem,Unmet demand costs: $m,,29227.386088113908
System,System,NetPresentCostSystem,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystem,Unmet system planning reserve costs: $m,,611.0928967481572
System,System,NetPresentCostSystem,Unmet system spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystem,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystem,Variable O&M: $m,,5800.247841257196
System,System,NetPresentCostSystemPerMWh,Carbon costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Excess generation: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Export revenues with internal zones: $m,,-9.535561830669096
System,System,NetPresentCostSystemPerMWh,Fixed O&M: $m,,10.52844953801509
System,System,NetPresentCostSystemPerMWh,Fuel costs: $m,,20.06544544014456
System,System,NetPresentCostSystemPerMWh,Generation costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with external zones: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Import costs with internal zones: $m,,34.04686129630515
System,System,NetPresentCostSystemPerMWh,NPV of system cost: $m,,47.3817871710144
System,System,NetPresentCostSystemPerMWh,Spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Startup costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Trade shared benefits: $m,,-24.511299465636046
System,System,NetPresentCostSystemPerMWh,Transmission costs: $m,,0.2640498284373386
System,System,NetPresentCostSystemPerMWh,Unmet country CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet country planning reserve costs: $m,,0.0955250930918013
System,System,NetPresentCostSystemPerMWh,Unmet country spinning reserve costs: $m,,0.0375360025918317
System,System,NetPresentCostSystemPerMWh,Unmet demand costs: $m,,8.261965546964023
System,System,NetPresentCostSystemPerMWh,Unmet system CO2 backstop cost: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Unmet system planning reserve costs: $m,,0.1727430719841538
System,System,NetPresentCostSystemPerMWh,Unmet system spinning reserve costs: $m,,0.0
System,System,NetPresentCostSystemPerMWh,VRE curtailment: $m,,0.0
System,System,NetPresentCostSystemPerMWh,Variable O&M: $m,,1.6396077187281533
Angola,Angola,CongestionShare,DRC,2024,1.0
Angola,Angola,CongestionShare,Namibia,2024,1.0
Angola,Angola,CongestionShare,Zambia,2024,1.0
Angola,Angola,CongestionShare,DRC,2025,1.0
Angola,Angola,CongestionShare,Namibia,2025,1.0
Angola,Angola,CongestionShare,Zambia,2025,1.0
Angola,Angola,CongestionShare,DRC,2028,1.0
Angola,Angola,CongestionShare,Namibia,2028,1.0
Angola,Angola,CongestionShare,Zambia,2028,1.0
Angola,Angola,CongestionShare,DRC,2030,1.0
Angola,Angola,CongestionShare,Zambia,2030,1.0
Angola,Angola,CongestionShare,DRC,2032,1.0
Angola,Angola,CongestionShare,Zambia,2032,1.0
Angola,Angola,CongestionShare,DRC,2035,0.0167808219178082
Angola,Angola,CongestionShare,Namibia,2035,0.1468036529680365
Angola,Angola,CongestionShare,DRC,2038,0.1598173515981735
Angola,Angola,CongestionShare,Namibia,2038,0.507648401826484
Angola,Angola,CongestionShare,Zambia,2038,0.0448630136986301
Angola,Angola,CongestionShare,DRC,2040,0.293607305936073
Angola,Angola,CongestionShare,Namibia,2040,0.4269406392694064
Angola,Angola,CongestionShare,Zambia,2040,0.0204337899543379
Angola,Angola,CongestionShare,DRC,2042,0.3638127853881278
Angola,Angola,CongestionShare,Namibia,2042,0.2397260273972602
Angola,Angola,CongestionShare,Zambia,2042,0.0393835616438356
Angola,Angola,Interchange,DRC,2035,1062.5961396869425
Angola,Angola,Interchange,Namibia,2035,1053.588012220355
Angola,Angola,Interchange,DRC,2038,1849.627561355814
Angola,Angola,Interchange,Namibia,2038,2220.7255179199306
Angola,Angola,Interchange,Zambia,2038,526.9906610205728
Angola,Angola,Interchange,DRC,2040,2883.673523578407
Angola,Angola,Interchange,Namibia,2040,2282.2505688584747
Angola,Angola,Interchange,Zambia,2040,400.0339405765918
Angola,Angola,Interchange,DRC,2042,3626.682074223057
Angola,Angola,Interchange,Namibia,2042,1490.512847602737
Angola,Angola,Interchange,Zambia,2042,404.1140950971627
Angola,Angola,InterconUtilization,DRC,2035,0.1644124392410079
Angola,Angola,InterconUtilization,Namibia,2035,0.283161740817908
Angola,Angola,InterconUtilization,DRC,2038,0.281526265046547
Angola,Angola,InterconUtilization,Namibia,2038,0.5757618401694676
Angola,Angola,InterconUtilization,Zambia,2038,0.1002645854300937
Angola,Angola,InterconUtilization,DRC,2040,0.4389153003924516
Angola,Angola,InterconUtilization,Namibia,2040,0.4727033563900472
Angola,Angola,InterconUtilization,Zambia,2040,0.0761099582527762
Angola,Angola,InterconUtilization,DRC,2042,0.5520064039913328
Angola,Angola,InterconUtilization,Namibia,2042,0.2942191358402933
Angola,Angola,InterconUtilization,Zambia,2042,0.0768862433594297
Angola,Angola,NetImport,DRC,2035,-1.0625961396869426
Angola,Angola,NetImport,Namibia,2035,-1.0535880122203551
Angola,Angola,NetImport,DRC,2038,-1.8496275613558144
Angola,Angola,NetImport,Namibia,2038,-2.220725517919931
Angola,Angola,NetImport,Zambia,2038,-0.5269906610205728
Angola,Angola,NetImport,DRC,2040,-2.8836735235784072
Angola,Angola,NetImport,Namibia,2040,-2.282250568858475
Angola,Angola,NetImport,Zambia,2040,-0.4000339405765918
Angola,Angola,NetImport,DRC,2042,-3.626682074223057
Angola,Angola,NetImport,Namibia,2042,-1.4905128476027374
Angola,Angola,NetImport,Zambia,2042,-0.4041140950971627
Angola,Angola,NewTransmissionCapacity,Namibia,2030,424.74878063448233
Angola,Angola,NewTransmissionCapacity,DRC,2035,737.7843777999997
Angola,Angola,NewTransmissionCapacity,Zambia,2035,439.6500230940625
Angola,Angola,NewTransmissionCapacity,DRC,2038,12.21562220000036
Angola,Angola,NewTransmissionCapacity,Namibia,2038,15.550422140031747
Angola,Angola,NewTransmissionCapacity,Zambia,2038,160.34997690593747
Angola,Angola,NewTransmissionCapacity,Namibia,2040,110.85171107898418
Angola,Angola,NewTransmissionCapacity,Namibia,2042,27.159086146503093
Angola,Angola,TransmissionCapacity,Namibia,2030,424.74878063448233
Angola,Angola,TransmissionCapacity,Namibia,2032,424.74878063448233
Angola,Angola,TransmissionCapacity,DRC,2035,737.7843777999997
Angola,Angola,TransmissionCapacity,Namibia,2035,424.74878063448233
Angola,Angola,TransmissionCapacity,Zambia,2035,439.65002309406253
Angola,Angola,TransmissionCapacity,DRC,2038,750.0
Angola,Angola,TransmissionCapacity,Namibia,2038,440.2992027745141
Angola,Angola,TransmissionCapacity,Zambia,2038,600.0
Angola,Angola,TransmissionCapacity,DRC,2040,750.0
Angola,Angola,TransmissionCapacity,Namibia,2040,551.1509138534982
Angola,Angola,TransmissionCapacity,Zambia,2040,600.0
Angola,Angola,TransmissionCapacity,DRC,2042,750.0
Angola,Angola,TransmissionCapacity,Namibia,2042,578.3100000000013
Angola,Angola,TransmissionCapacity,Zambia,2042,600.0
Botswana,Botswana,CongestionShare,Namibia,2024,1.0
Botswana,Botswana,CongestionShare,Zambia,2024,1.0
Botswana,Botswana,CongestionShare,Namibia,2025,1.0
Botswana,Botswana,CongestionShare,Zambia,2025,1.0
Botswana,Botswana,CongestionShare,Namibia,2028,1.0
Botswana,Botswana,CongestionShare,South_Africa,2028,0.30662100456621
Botswana,Botswana,CongestionShare,Zambia,2028,1.0
Botswana,Botswana,CongestionShare,Namibia,2030,1.0
Botswana,Botswana,CongestionShare,South_Africa,2030,0.2567351598173516
Botswana,Botswana,CongestionShare,Zambia,2030,1.0
Botswana,Botswana,CongestionShare,Namibia,2032,1.0
Botswana,Botswana,CongestionShare,South_Africa,2032,0.2557077625570776
Botswana,Botswana,CongestionShare,Zambia,2032,1.0
Botswana,Botswana,CongestionShare,Zimbabwe,2032,0.0042237442922374
Botswana,Botswana,CongestionShare,Namibia,2035,1.0
Botswana,Botswana,CongestionShare,South_Africa,2035,0.2920091324200913
Botswana,Botswana,CongestionShare,Zambia,2035,1.0
Botswana,Botswana,CongestionShare,Namibia,2038,1.0
Botswana,Botswana,CongestionShare,South_Africa,2038,0.1705479452054794
Botswana,Botswana,CongestionShare,Zambia,2038,1.0
Botswana,Botswana,CongestionShare,Namibia,2040,1.0
Botswana,Botswana,CongestionShare,South_Africa,2040,0.4930365296803653
Botswana,Botswana,CongestionShare,Zambia,2040,1.0
Botswana,Botswana,CongestionShare,Namibia,2042,1.0
Botswana,Botswana,CongestionShare,South_Africa,2042,0.4907534246575342
Botswana,Botswana,CongestionShare,Zambia,2042,1.0
Botswana,Botswana,Interchange,South_Africa,2024,4556.285771647285
Botswana,Botswana,Interchange,South_Africa,2025,3715.380740657975
Botswana,Botswana,Interchange,South_Africa,2028,4676.5918902450985
Botswana,Botswana,Interchange,South_Africa,2030,3258.984481026942
Botswana,Botswana,Interchange,Zimbabwe,2030,129.71767025017087
Botswana,Botswana,Interchange,South_Africa,2032,2924.2096666146203
Botswana,Botswana,Interchange,Zimbabwe,2032,241.8406495924189
Botswana,Botswana,Interchange,South_Africa,2035,5383.464616618275
Botswana,Botswana,Interchange,Zimbabwe,2035,2.4228728645549817
Botswana,Botswana,Interchange,South_Africa,2038,7594.0810942412945
Botswana,Botswana,Interchange,South_Africa,2040,9599.350319048974
Botswana,Botswana,Interchange,South_Africa,2042,9004.441332502625
Botswana,Botswana,InterconUtilization,South_Africa,2024,0.6274112744693344
Botswana,Botswana,InterconUtilization,South_Africa,2025,0.5116166725407703
Botswana,Botswana,InterconUtilization,South_Africa,2028,0.643977710153772
Botswana,Botswana,InterconUtilization,South_Africa,2030,0.4487698334114026
Botswana,Botswana,InterconUtilization,Zimbabwe,2030,0.0272706320900651
Botswana,Botswana,InterconUtilization,South_Africa,2032,0.4026705535379343
Botswana,Botswana,InterconUtilization,Zimbabwe,2032,0.0508423206085797
Botswana,Botswana,InterconUtilization,South_Africa,2035,0.6154278098109403
Botswana,Botswana,InterconUtilization,Zimbabwe,2035,0.0003416373541598
Botswana,Botswana,InterconUtilization,South_Africa,2038,0.6066509688610433
Botswana,Botswana,InterconUtilization,South_Africa,2040,0.7668413201307052
Botswana,Botswana,InterconUtilization,South_Africa,2042,0.7193171880344388
Botswana,Botswana,NetImport,South_Africa,2024,-4.5562857716472855
Botswana,Botswana,NetImport,South_Africa,2025,-3.715380740657975
Botswana,Botswana,NetImport,South_Africa,2028,-4.676591890245098
Botswana,Botswana,NetImport,South_Africa,2030,-3.258984481026942
Botswana,Botswana,NetImport,Zimbabwe,2030,-0.1297176702501708
Botswana,Botswana,NetImport,South_Africa,2032,-2.92420966661462
Botswana,Botswana,NetImport,Zimbabwe,2032,-0.2418406495924189
Botswana,Botswana,NetImport,South_Africa,2035,-5.383464616618275
Botswana,Botswana,NetImport,Zimbabwe,2035,-0.0024228728645549
Botswana,Botswana,NetImport,South_Africa,2038,-7.594081094241295
Botswana,Botswana,NetImport,South_Africa,2040,-9.599350319048972
Botswana,Botswana,NetImport,South_Africa,2042,-9.004441332502626
Botswana,Botswana,NewTransmissionCapacity,South_Africa,2035,169.57488648508146
Botswana,Botswana,NewTransmissionCapacity,Zimbabwe,2035,266.5826084870164
Botswana,Botswana,NewTransmissionCapacity,South_Africa,2038,430.4251135149185
Botswana,Botswana,NewTransmissionCapacity,Zimbabwe,2038,80.18223921346788
Botswana,Botswana,NewTransmissionCapacity,Zimbabwe,2040,90.59070713873932
Botswana,Botswana,TransmissionCapacity,South_Africa,2024,829.0
Botswana,Botswana,TransmissionCapacity,Zimbabwe,2024,543.0
Botswana,Botswana,TransmissionCapacity,South_Africa,2025,829.0
Botswana,Botswana,TransmissionCapacity,Zimbabwe,2025,543.0
Botswana,Botswana,TransmissionCapacity,South_Africa,2028,829.0
Botswana,Botswana,TransmissionCapacity,Zimbabwe,2028,543.0
Botswana,Botswana,TransmissionCapacity,South_Africa,2030,829.0
Botswana,Botswana,TransmissionCapacity,Zimbabwe,2030,543.0
Botswana,Botswana,TransmissionCapacity,South_Africa,2032,829.0
Botswana,Botswana,TransmissionCapacity,Zimbabwe,2032,543.0
Botswana,Botswana,TransmissionCapacity,South_Africa,2035,998.5748864850815
Botswana,Botswana,TransmissionCapacity,Zimbabwe,2035,809.5826084870164
